pixel_id,rbd_vh,burned,burned_area_hectares,rain_masked,cluster_mean_rbd_vh_burned,cluster_mean_rbd_vh_unburned
PX-025,0.6839365958114207,False,0.0,False,5.6207525532984075,1.901463682474826
PX-026,3.1793765622299563,False,0.0,False,5.6207525532984075,1.901463682474826
PX-027,3.563667951413235,False,0.0,False,5.6207525532984075,1.901463682474826
PX-028,3.67668951526991,False,0.0,False,5.6207525532984075,1.901463682474826
PX-029,3.8521621910520185,False,0.0,False,5.6207525532984075,1.901463682474826
PX-030,4.248121674810324,False,0.0,False,5.6207525532984075,1.901463682474826
PX-031,4.643014795809224,True,1.0,False,5.6207525532984075,1.901463682474826
PX-032,5.045433029082044,True,1.0,False,5.6207525532984075,1.901463682474826
PX-033,5.382098113610022,True,1.0,False,5.6207525532984075,1.901463682474826
PX-034,5.167568676237186,True,1.0,False,5.6207525532984075,1.901463682474826
PX-035,0.5815986851504178,False,0.0,False,5.6207525532984075,1.901463682474826
PX-036,0.6691033009598986,False,0.0,False,5.6207525532984075,1.901463682474826
PX-037,0.24750601735327393,False,0.0,False,5.6207525532984075,1.901463682474826
PX-038,0.4123810666348433,False,0.0,False,5.6207525532984075,1.901463682474826
PX-039,-3.347725395895033,False,0.0,True,5.6207525532984075,1.901463682474826
PX-040,-2.914241880532728,False,0.0,False,5.6207525532984075,1.901463682474826
PX-041,0.31379501273288923,False,0.0,False,5.6207525532984075,1.901463682474826
PX-042,1.4245214379060513,False,0.0,False,5.6207525532984075,1.901463682474826
PX-043,2.6308021832088055,False,0.0,False,5.6207525532984075,1.901463682474826
PX-044,3.5477482245232235,False,0.0,False,5.6207525532984075,1.901463682474826
PX-045,4.305151184588658,False,0.0,False,5.6207525532984075,1.901463682474826
PX-046,4.612002007692565,True,1.0,False,5.6207525532984075,1.901463682474826
PX-047,5.149529777920959,True,1.0,False,5.6207525532984075,1.901463682474826
PX-048,5.631445244693552,True,1.0,False,5.6207525532984075,1.901463682474826
PX-049,5.8361871302772315,True,1.0,False,5.6207525532984075,1.901463682474826
PX-050,1.151358234110976,False,0.0,False,5.6207525532984075,1.901463682474826
PX-051,1.2056570190079228,False,0.0,False,5.6207525532984075,1.901463682474826
PX-052,1.1346932103354348,False,0.0,False,5.6207525532984075,1.901463682474826
PX-053,0.5374472268900945,False,0.0,False,5.6207525532984075,1.901463682474826
PX-054,0.7107397748313993,False,0.0,False,5.6207525532984075,1.901463682474826
PX-055,0.9865469083866181,False,0.0,False,5.6207525532984075,1.901463682474826
PX-056,0.7376094474475661,False,0.0,False,5.6207525532984075,1.901463682474826
PX-057,2.447221248247395,False,0.0,False,5.6207525532984075,1.901463682474826
PX-058,2.8265461304846493,False,0.0,False,5.6207525532984075,1.901463682474826
PX-059,3.4829054686727687,False,0.0,False,5.6207525532984075,1.901463682474826
PX-060,-0.2635641845907113,False,0.0,False,5.6207525532984075,1.901463682474826
PX-061,0.19823636279484624,False,0.0,False,5.6207525532984075,1.901463682474826
PX-062,1.0230438190812468,False,0.0,False,5.6207525532984075,1.901463682474826
PX-063,2.1031368634349246,False,0.0,False,5.6207525532984075,1.901463682474826
PX-064,3.280815917091111,False,0.0,False,5.6207525532984075,1.901463682474826
PX-065,4.767473053302872,True,1.0,False,5.6207525532984075,1.901463682474826
PX-066,5.392693624990866,True,1.0,False,5.6207525532984075,1.901463682474826
PX-067,5.440814443017334,True,1.0,False,5.6207525532984075,1.901463682474826
PX-068,3.858026510390758,True,1.0,False,5.6207525532984075,1.901463682474826
PX-069,3.9708192184783613,True,1.0,False,5.6207525532984075,1.901463682474826
PX-070,3.8872101967562003,True,1.0,False,5.6207525532984075,1.901463682474826
PX-071,3.953544984903516,True,1.0,False,5.6207525532984075,1.901463682474826
PX-072,3.8612645102402574,True,1.0,False,5.6207525532984075,1.901463682474826
PX-073,3.715467839738034,False,0.0,False,5.6207525532984075,1.901463682474826
PX-074,3.4788373140690307,False,0.0,False,5.6207525532984075,1.901463682474826
PX-075,3.2702738299037204,False,0.0,False,5.6207525532984075,1.901463682474826
PX-076,3.0856969003384123,False,0.0,False,5.6207525532984075,1.901463682474826
PX-077,2.8799462782565897,False,0.0,False,5.6207525532984075,1.901463682474826
PX-078,2.5964130177345552,False,0.0,False,5.6207525532984075,1.901463682474826
PX-079,2.400659291107093,False,0.0,False,5.6207525532984075,1.901463682474826
